Code Commune,Nom Commune,Niveau de vie Commune,Niveau de vie Département
11320,Roquefeuil,14451.304348,17599.733068
23059,La Chaussade,14452.608696,17706.664212
93072,Stains,14454.0,17192.209405
64351,Lourdios-Ichère,14454.0,20478.793359
07233,Saint-Étienne-de-Serre,14458.8,19028.097092
23127,Mautes,14462.0,17706.664212
62386,Grenay,14465.238095,17738.487318
2B304,San-Lorenzo,14466.166667,18016.138123
15213,Saint-Saturnin,14476.5,18692.766897
34075,Cesseras,14477.333333,18686.160053
07203,Sagnes-et-Goudoulet,14477.391304,19028.097092
16249,Oradour-Fanais,14480.0,19132.751584
93066,Saint-Denis,14481.25,17192.209405
23172,La Serre-Bussière-Vieille,14493.809524,17706.664212
30171,Molières-sur-Cèze,14507.777778,18282.543539
63313,Saint-Alyre-ès-Montagne,14510.0,20539.456261
47299,Sérignac-Péboudou,14524.666667,18468.493
26181,Mévouillon,14526.5,19300.504181
48004,Altier,14527.333333,18756.660112
59153,Condé-sur-l'Escaut,14535.333333,18710.357368
87069,Gajoubert,14544.444444,19304.985956
23054,Charron,14554.4,17706.664212
87026,Bussière-Boffy,14559.333333,19304.985956
63006,Anzat-le-Luguet,14561.333333,20539.456261
11123,Duilhac-sous-Peyrepertuse,14562.0,17599.733068
64345,Lohitzun-Oyhercq,14571.071429,20478.793359
59014,Anzin,14573.888889,18710.357368
11205,Limousis,14574.896,17599.733068
09129,Galey,14577.0,18463.189424
81047,Cadix,14578.0,19094.667744
87163,Saint-Martial-sur-Isop,14578.0,19304.985956
25247,Fontenelle-Montby,14581.666667,20760.808968
22138,Maël-Pestivien,14582.5,19902.509817
87189,Les Salles-Lavauguyon,14587.333333,19304.985956
46146,Ladirat,14597.55,19270.67338
2B084,Cateri,14600.0,18016.138123
64543,Urepel,14601.785714,20478.793359
61082,Le Chalange,14607.708333,18491.522533
64218,Estérençuby,14613.333333,20478.793359
62361,Frévent,14617.619048,17738.487318
07239,Saint-Genest-Lachamp,14622.166667,19028.097092
11263,Nébias,14628.666667,17599.733068
59291,Hautmont,14631.73913,18710.357368
58034,Blismes,14637.333333,18835.593964
34098,Ferrals-les-Montagnes,14640.714286,18686.160053
95585,Sarcelles,14642.8,21296.219805
34071,Ceilhes-et-Rocozels,14643.571429,18686.160053
43004,Alleyrac,14644.193548,19098.534035
59207,Escautpont,14648.571429,18710.357368
83010,Bargème,14648.666667,19997.579394
47200,Parranquet,14654.666667,18468.493
62555,Marles-les-Mines,14656.0,17738.487318
17231,Messac,14656.0,19676.945602
12192,Mounes-Prohencoux,14659.333333,19069.431052
48100,Montbel,14661.333333,18756.660112
58221,Rémilly,14672.777778,18835.593964
19119,Lostanges,14681.0,19240.725403
43104,Grèzes,14690.47619,19098.534035
86138,Luchapt,14695.2,19527.047285
2B365,San-Gavino-di-Fiumorbo,14696.071429,18016.138123
59392,Maubeuge,14697.142857,18710.357368
30231,Saint-André-de-Valborgne,14702.0,18282.543539
62048,Auchel,14702.666667,17738.487318
43133,Mercoeur,14706.0,19098.534035
59654,Waziers,14706.578947,18710.357368
11032,Bellegarde-du-Razès,14712.666667,17599.733068
15211,Saint-Santin-Cantalès,14721.0,18692.766897
09290,Sentein,14730.5375,18463.189424
63450,Verneugheol,14731.666667,20539.456261
30280,Saint-Laurent-le-Minier,14735.238095,18282.543539
15015,Auzers,14741.0,18692.766897
2B199,Palasca,14750.333333,18016.138123
33326,Pleine-Selve,14751.904762,20905.253619
70143,Chauvirey-le-Châtel,14756.5,18851.05608
11194,Lastours,14756.666667,17599.733068
46161,Lauresses,14761.333333,19270.67338
93079,Villetaneuse,14761.944444,17192.209405
11131,Fa,14767.777778,17599.733068
15034,Chaliers,14768.095238,18692.766897
08255,Linay,14771.176471,17982.891628
82032,Castelsagrat,14772.5,18637.543811
11110,Coustouge,14782.0,17599.733068
06086,Moulinet,14784.0,20306.876419
87136,Saint-Barbant,14784.8,19304.985956
23066,Le Compas,14785.833333,17706.664212
12075,Connac,14790.47619,19069.431052
24290,Montferrand-du-Périgord,14796.0,18687.801987
2B361,Zilia,14796.666667,18016.138123
23223,Saint-Moreil,14799.333333,17706.664212
07029,Beaumont,14800.0,19028.097092
2A028,Balogna,14802.222222,19525.21681
59484,Quiévrechain,14806.538462,18710.357368
12249,Saint-Sever-du-Moustier,14809.0,19069.431052
