bv2012_code,bv2012_name,com_uu2020_status
69123,Lyon,unité urbaine
69024,Le Bois-d'Oingt,unité urbaine
69123,Lyon,unité urbaine
69123,Lyon,unité urbaine
42059,Chazelles-sur-Lyon,hors unité urbaine
69123,Lyon,hors unité urbaine
69010,L'Arbresle,unité urbaine
69123,Lyon,unité urbaine
70310,Lure,hors unité urbaine
70310,Lure,hors unité urbaine
70120,Champagney - Ronchamp,hors unité urbaine
70550,Vesoul,hors unité urbaine
70550,Vesoul,hors unité urbaine
70561,Villersexel,hors unité urbaine
70311,Luxeuil-les-Bains,unité urbaine
70198,Dampierre-sur-Salon,hors unité urbaine
70310,Lure,hors unité urbaine
70311,Luxeuil-les-Bains,hors unité urbaine
70561,Villersexel,hors unité urbaine
25056,Besançon,hors unité urbaine
25056,Besançon,hors unité urbaine
70447,Rioz,hors unité urbaine
70310,Lure,hors unité urbaine
70198,Dampierre-sur-Salon,hors unité urbaine
70310,Lure,hors unité urbaine
70550,Vesoul,hors unité urbaine
70285,Héricourt,hors unité urbaine
71263,Louhans,hors unité urbaine
71270,Mâcon,hors unité urbaine
71137,Cluny,hors unité urbaine
71120,Chauffailles,unité urbaine
71137,Cluny,hors unité urbaine
71230,Gueugnon,hors unité urbaine
71417,Saint-Gengoux-le-National,hors unité urbaine
71543,Tournus,hors unité urbaine
71014,Autun,hors unité urbaine
71230,Gueugnon,unité urbaine
71512,Sennecey-le-Grand,hors unité urbaine
71263,Louhans,hors unité urbaine
71153,Le Creusot,hors unité urbaine
71221,Givry,hors unité urbaine
71014,Autun,hors unité urbaine
71263,Louhans,hors unité urbaine
71417,Saint-Gengoux-le-National,hors unité urbaine
71137,Cluny,hors unité urbaine
71070,Buxy,hors unité urbaine
71076,Chalon-sur-Saône,unité urbaine
71176,Digoin,hors unité urbaine
72154,La Flèche,hors unité urbaine
72181,Le Mans,unité urbaine
72090,Connerré,hors unité urbaine
72124,Écommoy,hors unité urbaine
72168,Loué,hors unité urbaine
72264,Sablé-sur-Sarthe,hors unité urbaine
72269,Saint-Calais,hors unité urbaine
61001,Alençon,hors unité urbaine
72181,Le Mans,unité urbaine
72176,Le Lude,unité urbaine
72143,Le Grand-Lucé,hors unité urbaine
72138,Fresnay-sur-Sarthe,hors unité urbaine
72373,Vibraye,hors unité urbaine
73011,Albertville,hors unité urbaine
73270,Saint-Pierre-d'Albigny,hors unité urbaine
01034,Belley,hors unité urbaine
73011,Albertville,unité urbaine
73171,Montmélian,unité urbaine
38006,Allevard,hors unité urbaine
73248,Saint-Jean-de-Maurienne,hors unité urbaine
73171,Montmélian,hors unité urbaine
73181,Moûtiers,unité urbaine
01034,Belley,hors unité urbaine
74081,Cluses,hors unité urbaine
74096,Cruseilles,hors unité urbaine
74012,Annemasse,unité urbaine
74096,Cruseilles,unité urbaine
74056,Chamonix-Mont-Blanc,hors unité urbaine
74269,Seyssel,hors unité urbaine
76540,Rouen,hors unité urbaine
76276,Forges-les-Eaux,hors unité urbaine
76217,Dieppe,hors unité urbaine
76400,Luneray,hors unité urbaine
76034,Val-de-Scie,hors unité urbaine
76219,Doudeville,hors unité urbaine
76101,Blangy-sur-Bresle,unité urbaine
76312,Gournay-en-Bray,hors unité urbaine
76196,Criquetot-l'Esneval,unité urbaine
